NUMBER PREFIX	DESTINATION COUNTRY	DESTINATION PLATFORM
1	United States [USA]	FIXED
108	Canada [CAN]	FIXED
109	Canada [CAN]	FIXED
113	Canada [CAN]	FIXED
117	Canada [CAN]	FIXED
1186	Canada [CAN]	FIXED
1204	Canada [CAN]	FIXED
1226	Canada [CAN]	FIXED
1236	Canada [CAN]	FIXED
1242	The Bahamas [BHS]	FIXED
1242357	The Bahamas [BHS]	MOBILE
1242359	The Bahamas [BHS]	MOBILE
1242375	The Bahamas [BHS]	MOBILE
1242376	The Bahamas [BHS]	MOBILE
1242395	The Bahamas [BHS]	MOBILE
1242431	The Bahamas [BHS]	MOBILE
1242432	The Bahamas [BHS]	MOBILE
1242433	The Bahamas [BHS]	MOBILE
1242434	The Bahamas [BHS]	MOBILE
1242435	The Bahamas [BHS]	MOBILE
1242436	The Bahamas [BHS]	MOBILE
1242437	The Bahamas [BHS]	MOBILE
1242438	The Bahamas [BHS]	MOBILE
1242439	The Bahamas [BHS]	MOBILE
1242441	The Bahamas [BHS]	MOBILE
1242442	The Bahamas [BHS]	MOBILE
1242443	The Bahamas [BHS]	MOBILE
1242445	The Bahamas [BHS]	MOBILE
1242446	The Bahamas [BHS]	MOBILE
1242447	The Bahamas [BHS]	MOBILE
1242448	The Bahamas [BHS]	MOBILE
1242449	The Bahamas [BHS]	MOBILE
1242451	The Bahamas [BHS]	MOBILE
1242452	The Bahamas [BHS]	MOBILE
1242453	The Bahamas [BHS]	MOBILE
1242454	The Bahamas [BHS]	MOBILE
1242455	The Bahamas [BHS]	MOBILE
1242456	The Bahamas [BHS]	MOBILE
1242457	The Bahamas [BHS]	MOBILE
1242458	The Bahamas [BHS]	MOBILE
1242462	The Bahamas [BHS]	MOBILE
1242463	The Bahamas [BHS]	MOBILE
1242464	The Bahamas [BHS]	MOBILE
1242465	The Bahamas [BHS]	MOBILE
1242466	The Bahamas [BHS]	MOBILE
1242467	The Bahamas [BHS]	MOBILE
1242468	The Bahamas [BHS]	MOBILE
1242481	The Bahamas [BHS]	MOBILE
1242524	The Bahamas [BHS]	MOBILE
1242525	The Bahamas [BHS]	MOBILE
1242533	The Bahamas [BHS]	MOBILE
1242535	The Bahamas [BHS]	MOBILE
1242544	The Bahamas [BHS]	MOBILE
1242551	The Bahamas [BHS]	MOBILE
1242552	The Bahamas [BHS]	MOBILE
1242553	The Bahamas [BHS]	MOBILE
1242554	The Bahamas [BHS]	MOBILE
1242556	The Bahamas [BHS]	MOBILE
1242557	The Bahamas [BHS]	MOBILE
1242558	The Bahamas [BHS]	MOBILE
1242559	The Bahamas [BHS]	MOBILE
1242565	The Bahamas [BHS]	MOBILE
1242577	The Bahamas [BHS]	MOBILE
1242636	The Bahamas [BHS]	MOBILE
1242646	The Bahamas [BHS]	MOBILE
1246	Barbados [BRB]	FIXED
124625	Barbados [BRB]	MOBILE
1246250	Barbados [BRB]	FIXED
1246251	Barbados [BRB]	FIXED
1246252	Barbados [BRB]	FIXED
1246253	Barbados [BRB]	FIXED
1246254	Barbados [BRB]	FIXED
1246255	Barbados [BRB]	FIXED
1246256	Barbados [BRB]	FIXED
1246257	Barbados [BRB]	FIXED
1246258	Barbados [BRB]	FIXED
1246259	Barbados [BRB]	FIXED
1246446	Barbados [BRB]	MOBILE
1246447	Barbados [BRB]	MOBILE
1246448	Barbados [BRB]	MOBILE
1246449	Barbados [BRB]	MOBILE
124652	Barbados [BRB]	MOBILE
1249	Canada [CAN]	FIXED
1250	Canada [CAN]	FIXED
1257	Canada [CAN]	FIXED
1263	Canada [CAN]	FIXED
1264	Anguilla [AIA]	FIXED
126458	Anguilla [AIA]	MOBILE
1264581	Anguilla [AIA]	FIXED
1264582	Anguilla [AIA]	FIXED
1264583	Anguilla [AIA]	FIXED
1264584	Anguilla [AIA]	FIXED
1264585	Anguilla [AIA]	FIXED
1264586	Anguilla [AIA]	FIXED
1264587	Anguilla [AIA]	FIXED
1264588	Anguilla [AIA]	FIXED
1264589	Anguilla [AIA]	FIXED
1268	Antigua and Barbuda [ATG]	FIXED
1273	Canada [CAN]	FIXED
1284	British Virgin Islands [VGB]	FIXED
128434	British Virgin Islands [VGB]	MOBILE
1284340	British Virgin Islands [VGB]	FIXED
1284341	British Virgin Islands [VGB]	FIXED
1284342	British Virgin Islands [VGB]	FIXED
1284343	British Virgin Islands [VGB]	FIXED
1284344	British Virgin Islands [VGB]	FIXED
1284345	British Virgin Islands [VGB]	FIXED
1284346	British Virgin Islands [VGB]	FIXED
1284347	British Virgin Islands [VGB]	FIXED
1284348	British Virgin Islands [VGB]	FIXED
1284349	British Virgin Islands [VGB]	FIXED
1284440	British Virgin Islands [VGB]	MOBILE
1284441	British Virgin Islands [VGB]	MOBILE
1284442	British Virgin Islands [VGB]	MOBILE
1284443	British Virgin Islands [VGB]	MOBILE
1284444	British Virgin Islands [VGB]	MOBILE
1284445	British Virgin Islands [VGB]	MOBILE
1284446	British Virgin Islands [VGB]	MOBILE
1284468	British Virgin Islands [VGB]	MOBILE
12844960	British Virgin Islands [VGB]	MOBILE
12844966	British Virgin Islands [VGB]	MOBILE
12844967	British Virgin Islands [VGB]	MOBILE
12844968	British Virgin Islands [VGB]	MOBILE
12844969	British Virgin Islands [VGB]	MOBILE
1284499	British Virgin Islands [VGB]	MOBILE
1284540	British Virgin Islands [VGB]	MOBILE
1284541	British Virgin Islands [VGB]	MOBILE
1284542	British Virgin Islands [VGB]	MOBILE
1284543	British Virgin Islands [VGB]	MOBILE
1284544	British Virgin Islands [VGB]	MOBILE
1284545	British Virgin Islands [VGB]	MOBILE
1284546	British Virgin Islands [VGB]	MOBILE
1284547	British Virgin Islands [VGB]	MOBILE
1289	Canada [CAN]	FIXED
1306	Canada [CAN]	FIXED
1340	Virgin Islands [VIR]	FIXED
1343	Canada [CAN]	FIXED
1345	Cayman Islands [CYM]	FIXED
1345235	Cayman Islands [CYM]	MOBILE
1345550	Cayman Islands [CYM]	MOBILE
